l,nr,l,nr,l,,,,,,,,,
1,0,1,0,1,0,1,0.00,1,0,1.00,0,1,0
2,0.995449374288965,2,1.06181266590823,2,1,2,1.32726583238529,2,1.32726583238529,2,1.32726583238529,2,1.32726583238529
3,1.99089874857793,3,2.12362533181646,3,2,3,2.65453166477057,3,2.65453166477057,3,2.65453166477057,3,2.15680697762609
4,2.98634812286689,4,3.18543799772469,4,3,4,3.98179749715586,4,3.98179749715586,4,3.48407281001138,4,3.21861964353432
5,3.98179749715586,5,4.24725066363292,5,5,5,5.30906332954115,5,4.81133864239666,5,4.31361395525218,5,4.16666666666667
6,4.97724687144482,6,5.30906332954115,6,6,6,6.13860447478195,6,5.64087978763747,6,5.37542662116041,6,5.49393249905195
7,5.97269624573379,7,6.37087599544938,7,7,7,6.96814562002275,7,6.47042093287827,7,6.43723928706864,7,6.32347364429276
8,6.96814562002275,8,7.43268866135761,8,8,8,7.79768676526356,8,7.5322335987865,8,7.38528631020099,8,7.38528631020099
9,7.96359499431172,9,8.49450132726584,9,9,9,8.62722791050436,9,8.59404626469473,9,8.33333333333333,9,8.33333333333334
10,8.95904436860068,10,9.55631399317407,10,9,10,9.68904057641259,10,9.65585893060296,10,9.66059916571862,10,9.66059916571862
11,9.95449374288965,11,10.6181266590823,11,10,11,10.7508532423208,11,10.6039059537353,11,10.9878649981039,11,10.4901403109594
12,10.9499431171786,12,11.6799393249905,12,11,12,11.8126659082291,12,11.5519529768677,12,11.8174061433447,12,11.5519529768677
13,11.9453924914676,13,12.7417519908988,13,12,13,12.8744785741373,13,12.5,13,12.6469472885855,13,12.5
14,12.9408418657565,14,13.803564656807,14,12,14,13.8225255972696,14,13.8272658323853,14,13.7087599544937,14,13.8272658323853
15,13.9362912400455,15,14.8653773227152,15,13,15,14.770572620402,15,15.1545316647706,15,14.770572620402,15,14.6568069776261
16,14.9317406143345,16,15.9271899886234,16,14,16,15.7186196435343,16,16.4817974971559,16,15.7186196435343,16,15.7186196435343
17,15.9271899886234,17,16.5908229048161,17,15,17,16.6666666666667,17,17.3113386423967,17,16.6666666666667,17,16.6666666666667
18,16.9226393629124,18,17.2544558210087,18,16,18,17.993932499052,18,18.1408797876375,18,17.993932499052,18,17.993932499052
19,17.9180887372014,19,17.9180887372014,19,17,19,19.3211983314372,19,18.9704209328783,19,19.3211983314372,19,18.8234736442928
20,18.9135381114903,20,18.581721653394,20,17,20,20.6484641638225,20,20.0322335987865,20,20.150739476678,20,19.885286310201
21,19.9089874857793,21,19.2453545695867,21,18,21,21.9757299962078,21,21.0940462646947,21,20.9802806219188,21,20.8333333333333
22,20.9044368600683,22,19.9089874857793,22,19,22,22.8052711414486,22,22.155858930603,22,22.0420932878271,22,22.1605991657186
23,21.8998862343572,23,20.5726204019719,23,20,23,23.6348122866894,23,23.1039059537353,23,23.1039059537353,23,22.9901403109594
24,22.8953356086462,24,21.2362533181646,24,21,24,24.4643534319302,24,24.0519529768676,24,24.0519529768676,24,24.0519529768677
25,23.8907849829351,25,21.8998862343572,25,22,25,25.293894577171,25,25,25,25,25,25
26,24.8862343572241,26,22.5635191505499,26,23,26,26.3557072430793,26,26.3272658323853,26,26.3272658323853,26,26.3272658323853
27,25.8816837315131,27,23.2271520667425,27,23,27,27.4175199089875,27,27.6545316647706,27,27.6545316647706,27,27.1568069776261
28,26.877133105802,28,23.8907849829352,28,24,28,28.4793325748957,28,28.9817974971559,28,28.4840728100114,28,28.2186196435343
29,27.872582480091,29,24.5544178991278,29,25,29,29.5411452408039,29,29.8113386423967,29,29.3136139552522,29,29.1666666666667
30,28.86803185438,30,25.2180508153204,30,26,30,30.4891922639363,30,30.6408797876375,30,30.3754266211604,30,30.4939324990519
31,29.8634812286689,31,25.8816837315131,31,27,31,31.4372392870686,31,31.4704209328783,31,31.4372392870686,31,31.3234736442928
32,30.8589306029579,32,26.7311338642397,32,28,32,32.385286310201,32,32.5322335987865,32,32.385286310201,32,32.385286310201
33,31.8543799772468,33,27.5805839969663,33,30,33,33.3333333333333,33,33.5940462646947,33,33.3333333333333,33,33.3333333333333
34,32.4765358361775,34,28.4300341296928,34,31,34,34.6605991657186,34,34.6558589306029,34,34.6605991657186,34,34.6605991657186
35,33.0986916951081,35,29.2794842624194,35,32,35,35.9878649981039,35,35.6039059537353,35,35.9878649981039,35,35.4901403109594
