lochnr,groesse,proz,gesamtproz,,,,,,,,
1,0.099999999999999,5,0,1,4.1,3.34860072021704,0.00,1,4.9,2.2717982621334,0
2,0.299999999999999,5,4.6790532122987,2,4.2,3.31656321528786,3.34860072021704,2,4.8,2.26147612745812,2.2717982621334
3,0.499999999999999,5,9.29555345560373,3,4.3,3.28483222696303,6.66516393550491,3,4.7,2.25120089239803,4.53327438959152
4,0.699999999999999,4,13.8503369832664,4,4.4,3.25340482266622,9.94999616246794,4,4.6,2.24097234386018,6.78447528198955
5,0.899999999999999,4,18.3442288689983,5,4.5,3.22227809787831,13.2034009851342,5,4.5,2.23079026971986,9.02544762584973
6,1.1,4,22.7780431563283,6,4.6,3.19144917586898,16.4256790830125,6,4.4,2.22065445881616,11.2562378955696
7,1.3,4,27.1525830060627,7,4.7,3.16091520743081,19.6171282588815,7,4.3,2.2105647009476,13.4768923543857
8,1.5,4,31.4686408417728,8,4.8,3.130673370616,22.7780434663123,8,4.2,2.20052078686776,15.6874570553334
9,1.7,4,35.7269984933384,9,4.9,3.1007208704755,25.9087168369283,9,4.1,2.19052250828098,17.8879778422011
10,1.9,4,39.9284273385714,10,5,3.07105493880078,29.0094377074038,10,4,2.18056965783797,20.0785003504821
11,2.1,4,44.0736884429473,11,5,3.04167283386794,32.0804926462046,11,3.9,2.17066202913159,22.2590700083201
12,2.3,4,48.1635326974675,12,5,3.01257184018432,35.1221654800725,12,3.8,2.16079941669251,24.4297320374517
13,2.5,4,52.1987009546793,13,5,2.98374926823756,38.1347373202568,13,3.7,2.15098161598497,26.5905314541442
14,2.7,4,56.1799241628768,14,5,2.95520245424703,41.1184865884944,14,3.6,2.14120842340256,28.7415130701291
15,2.9,4,60.1079234985087,15,5,2.92692875991762,44.0736890427414,15,3.5,2.13147963626393,30.8827214935317
16,3.1,4,63.9834104968149,16,5,2.89892557219593,47.000617802659,16,3.4,2.12179505280868,33.0142011297956
17,3.2,4,67.8070871807175,17,5,2.87119030302878,49.899543374855,17,3.3,2.11215447219311,35.1359961826043
18,3.3,4,71.5796461879881,18,5,2.84372038912398,52.7707336778837,18,3.2,2.10255769448606,37.2481506547974
19,3.4,4,75.3017708967156,19,5,2.81651329171349,55.6144540670077,19,3.1,2.09300452066479,39.3507083492835
20,3.5,4,78.9741355490958,20,5,2.78956649631875,58.4309673587212,20,3,2.08349475261084,41.4437128699483
21,3.6,4,82.5974053735672,21,5,2.76287751251829,61.22053385504,21,2.9,2.07402819310591,43.5272076225591
22,3.7,4,86.1722367053132,22,5,2.73644387371758,63.9834113675583,22,2.8,2.0646046458278,45.601235815665
23,3.8,3,89.6992771051535,23,5,2.71026313692105,66.7198552412758,23,2.7,2.05522391534629,47.6658404614928
24,3.9,3,93.1791654768461,24,5,2.68433288250635,69.4301183781969,24,2.6,2.04588580711914,49.7210643768391
25,4,3,96.6125321828215,25,5,2.65865071400067,72.1144512607033,25,2.5,2.03659012748803,51.7669501839583
,,,,26,5,2.6332142578593,74.7731019747039,26,2.4,2.02733668367452,53.8035403114463
,,,,27,5,2.60802116324625,77.4063162325632,27,2.3,2.01812528377612,55.8308769951208
,,,,28,5,2.58306910181699,80.0143373958095,28,2.2,2.00895573676223,57.8490022788969
,,,,29,5,2.55835576750328,82.5974064976264,29,2.1,1.99982785247023,59.8579580156592
,,,,30,5,2.5338788763,85.1557622651297,30,2,1.99074144160152,61.8577858681294
,,,,31,5,2.5096361660541,87.6896411414297,31,1.9,1.9816963157176,63.8485273097309
,,,,32,5,2.48562539625555,90.1992773074838,32,1.8,1.97269228723617,65.8302236254485
,,,,33,5,2.4618443478302,92.6849027037394,33,1.7,1.96372916942719,67.8029159126847
,,,,34,5,2.43829082293477,95.1467470515696,34,1.6,1.95480677640909,69.7666450821119
,,,,35,5,2.41496264475368,97.5850378745044,35,1.5,1.94592492314485,71.721451858521
,,,,,,,,36,1.4,1.93708342543818,73.6673767816658
,,,,,,,,37,1.3,1.92828209992971,75.604460207104
,,,,,,,,38,1.2,1.91952076409318,77.5327423070337
,,,,,,,,39,1.1,1.91079923623166,79.4522630711269
,,,,,,,,40,1,1.90211733547376,81.3630623073585
,,,,,,,,41,0.9,1.89347488176993,83.2651796428323
,,,,,,,,42,0.8,1.88487169588866,85.1586545246022
,,,,,,,,43,0.7,1.87630759941282,87.0435262204909
,,,,,,,,44,0.6,1.8677824147359,88.9198338199037
,,,,,,,,45,0.5,1.85929596505841,90.7876162346396
,,,,,,,,46,0.4,1.85084807438413,92.646912199698
,,,,,,,,47,0.3,1.84243856751651,94.4977602740821
,,,,,,,,48,0.2,1.83406727005501,96.3401988415986
,,,,,,,,49,0.1,1.82573400839152,98.1742661116536
